head,backbone,gamma,macro_f1,micro_f1,accuracy,tcr
consth,aviation-bert,0.0,0.3618693199404187,0.39646017699115044,0.39646017699115044,0.6991150442477876
consth,aviation-bert,2.0,0.3843707895301222,0.41061946902654867,0.41061946902654867,0.695575221238938
consth,bert-base,0.0,0.1748771209935427,0.23893805309734514,0.23893805309734514,0.5097345132743363
consth,bert-base,2.0,0.18114410351186072,0.23716814159292035,0.23716814159292035,0.5699115044247788
flat,aviation-bert,0.0,0.4196403294021695,0.40176991150442476,0.40176991150442476,
flat,aviation-bert,2.0,0.42702927251165085,0.41061946902654867,0.41061946902654867,
flat,bert-base,0.0,0.23067955161519182,0.25663716814159293,0.25663716814159293,
flat,bert-base,2.0,0.2171478709096556,0.25309734513274335,0.25309734513274335,
hierbert,aviation-bert,0.0,0.34826281482354093,0.47079646017699117,0.47079646017699117,0.831858407079646
hierbert,aviation-bert,2.0,0.35853592313741084,0.479646017699115,0.479646017699115,0.8495575221238938
hierbert,bert-base,0.0,0.16690162619454868,0.2513274336283186,0.2513274336283186,0.7044247787610619
hierbert,bert-base,2.0,0.2015839460589215,0.2743362831858407,0.2743362831858407,0.6938053097345133
learnablegate,aviation-bert,0.0,0.2956762228967675,0.47079646017699117,0.47079646017699117,0.9575221238938053
learnablegate,aviation-bert,2.0,0.3038055728207359,0.4743362831858407,0.4743362831858407,0.95929203539823
learnablegate,bert-base,0.0,0.16865488852527094,0.2884955752212389,0.2884955752212389,0.8902654867256637
learnablegate,bert-base,2.0,0.18715516393930268,0.30442477876106194,0.30442477876106194,0.9168141592920354
